,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,114,72,66,-7,14,32,164,18,6,89
37,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91
38,Antisocial (with Travis Scott),Ed Sheeran,pop,152,82,72,-5,36,91,162,13,5,87
39,Sucker,Jonas Brothers,boy band,138,73,84,-5,11,95,181,4,6,80
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,95,56,81,-6,6,68,199,48,7,78
41,Higher Love,Kygo,edm,104,68,69,-7,10,40,228,2,3,88
42,You Need To Calm Down,Taylor Swift,dance pop,85,68,77,-6,7,73,171,1,5,90
43,Shallow,Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87
44,Talk,Khalid,pop,136,40,90,-9,6,35,198,5,13,84
45,Con Altura,ROSALÍA,r&b en espanol,98,69,88,-4,5,75,162,39,12,88
46,One Thing Right,Marshmello,brostep,88,62,66,-2,58,44,182,7,5,88
47,Te Robaré,Nicky Jam,latin,176,75,67,-4,8,80,202,24,6,88
48,Happier,Marshmello,brostep,100,79,69,-3,17,67,214,19,5,88
49,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82
51,"Hey, Soul Sister",Train,neo mellow,97,89,67,-4,8,80,217,19,4,83
52,Love The Way You Lie,Eminem,detroit hip hop,87,93,75,-5,52,64,263,24,23,82
53,TiK ToK,Kesha,dance pop,120,84,76,-3,29,71,200,10,14,80
54,Bad Romance,Lady Gaga,dance pop,119,92,70,-4,8,71,295,0,4,79
55,Just the Way You Are,Bruno Mars,pop,109,84,64,-5,9,43,221,2,4,78
56,Baby,Justin Bieber,canadian pop,65,86,73,-5,11,54,214,4,14,77
57,Dynamite,Taio Cruz,dance pop,120,78,75,-4,4,82,203,0,9,77
58,Secrets,OneRepublic,dance pop,148,76,52,-6,12,38,225,7,4,77
59,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,93,37,48,-8,12,14,216,74,3,76
60,Only Girl (In The World),Rihanna,barbadian pop,126,72,79,-4,7,61,235,13,4,73
61,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,128,87,62,-4,6,47,235,3,3,73
62,Marry You,Bruno Mars,pop,145,83,62,-5,10,48,230,33,4,73
63,Cooler Than Me - Single Mix,Mike Posner,dance pop,130,82,77,-5,70,63,213,18,5,73
64,Telephone,Lady Gaga,dance pop,122,83,83,-6,11,71,221,1,4,73
65,Like A G6,Far East Movement,dance pop,125,84,44,-8,12,78,217,1,45,72
66,OMG (feat. will.i.am),Usher,atl hip hop,130,75,78,-6,36,33,269,20,3,72
67,Eenie Meenie,Sean Kingston,dance pop,121,61,72,-4,11,83,202,5,3,71
68,The Time (Dirty Bit),The Black Eyed Peas,dance pop,128,81,82,-8,60,44,308,7,7,70
69,Alejandro,Lady Gaga,dance pop,99,80,63,-7,36,37,274,0,5,69
70,Your Love Is My Drug,Kesha,dance pop,120,61,83,-4,9,76,187,1,10,69
71,Meet Me Halfway,The Black Eyed Peas,dance pop,130,63,80,-7,32,40,284,0,7,68
72,Whataya Want from Me,Adam Lambert,australian pop,186,68,44,-5,6,45,227,1,5,66
73,Take It Off,Kesha,dance pop,125,68,73,-5,9,74,215,0,3,66
74,Misery,Maroon 5,pop,103,81,70,-5,22,73,216,0,4,65
75,All The Right Moves,OneRepublic,dance pop,146,95,53,-4,28,65,238,26,5,65
76,Animal,Neon Trees,indie pop,148,83,48,-6,38,74,212,0,4,65
77,Naturally,Selena Gomez & The Scene,dance pop,133,90,61,-5,5,88,203,2,5,64
78,I Like It,Enrique Iglesias,dance pop,129,94,65,-3,6,73,231,2,9,63
79,Teenage Dream,Katy Perry,dance pop,120,80,72,-5,13,59,228,2,4,63
80,California Gurls,Katy Perry,dance pop,125,75,79,-4,18,40,235,0,5,62
81,3,Britney Spears,dance pop,135,71,70,-2,14,79,213,5,5,62
82,"Hey, Soul Sister",Train,neo mellow,139.7354839,140.7354839,141.7354839,142.7354839,143.7354839,144.7354839,145.7354839,146.7354839,147.7354839,148.7354839
83,Love The Way You Lie,Eminem,detroit hip hop,140.7834677,76.05120968,66.19959677,-4.854032258,19.47016129,64.46008065,227.3197581,0.402016129,4.489516129,59.79596774
84,TiK ToK,Kesha,dance pop,141.8314516,75.90241935,66.10887097,-4.843548387,19.46935484,64.70725806,227.1298387,-0.105645161,4.320967742,59.12741935
85,Bad Romance,Lady Gaga,dance pop,142.8794355,75.75362903,66.01814516,-4.833064516,19.46854839,64.95443548,226.9399194,-0.613306452,4.152419355,58.45887097
86,Just the Way You Are,Bruno Mars,pop,143.9274194,75.60483871,65.92741935,-4.822580645,19.46774194,65.2016129,226.75,-1.120967742,3.983870968,57.79032258
87,Baby,Justin Bieber,canadian pop,144.9754032,75.45604839,65.83669355,-4.812096774,19.46693548,65.44879032,226.5600806,-1.628629032,3.815322581,57.12177419
88,Dynamite,Taio Cruz,dance pop,146.0233871,75.30725806,65.74596774,-4.801612903,19.46612903,65.69596774,226.3701613,-2.136290323,3.646774194,56.45322581
89,Secrets,OneRepublic,dance pop,147.071371,75.15846774,65.65524194,-4.791129032,19.46532258,65.94314516,226.1802419,-2.643951613,3.478225806,55.78467742
90,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,148.1193548,75.00967742,65.56451613,-4.780645161,19.46451613,66.19032258,225.9903226,-3.151612903,3.309677419,55.11612903
91,Only Girl (In The World),Rihanna,barbadian pop,149.1673387,74.8608871,65.47379032,-4.77016129,19.46370968,66.4375,225.8004032,-3.659274194,3.141129032,54.44758065
92,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,150.2153226,74.71209677,65.38306452,-4.759677419,19.46290323,66.68467742,225.6104839,-4.166935484,2.972580645,53.77903226
93,Marry You,Bruno Mars,pop,151.2633065,74.56330645,65.29233871,-4.749193548,19.46209677,66.93185484,225.4205645,-4.674596774,2.804032258,53.11048387
94,Cooler Than Me - Single Mix,Mike Posner,dance pop,152.3112903,74.41451613,65.2016129,-4.738709677,19.46129032,67.17903226,225.2306452,-5.182258065,2.635483871,52.44193548
95,Telephone,Lady Gaga,dance pop,153.3592742,74.26572581,65.1108871,-4.728225806,19.46048387,67.42620968,225.0407258,-5.689919355,2.466935484,51.7733871
96,Like A G7,Far East Movement,dance pop,154.4072581,74.11693548,65.02016129,-4.717741935,19.45967742,67.6733871,224.8508065,-6.197580645,2.298387097,51.10483871
97,OMG (feat. will.i.am),Usher,atl hip hop,155.4552419,73.96814516,64.92943548,-4.707258065,19.45887097,67.92056452,224.6608871,-6.705241935,2.12983871,50.43629032
98,Eenie Meenie,Sean Kingston,dance pop,156.5032258,73.81935484,64.83870968,-4.696774194,19.45806452,68.16774194,224.4709677,-7.212903226,1.961290323,49.76774194
99,The Time (Dirty Bit),The Black Eyed Peas,dance pop,157.5512097,73.67056452,64.74798387,-4.686290323,19.45725806,68.41491935,224.2810484,-7.720564516,1.792741935,49.09919355
100,Alejandro,Lady Gaga,dance pop,158.5991935,73.52177419,64.65725806,-4.675806452,19.45645161,68.66209677,224.091129,-8.228225806,1.624193548,48.43064516
101,"Hey, Soul Sister",Train,neo mellow,159.6471774,73.37298387,64.56653226,-4.665322581,19.45564516,68.90927419,223.9012097,-8.735887097,1.455645161,47.76209677
102,Love The Way You Lie,Eminem,detroit hip hop,160.6951613,73.22419355,64.47580645,-4.65483871,19.45483871,69.15645161,223.7112903,-9.243548387,1.287096774,47.09354839
103,TiK ToK,Kesha,dance pop,161.7431452,73.07540323,64.38508065,-4.644354839,19.45403226,69.40362903,223.521371,-9.751209677,1.118548387,46.425
104,Bad Romance,Lady Gaga,dance pop,162.791129,72.9266129,64.29435484,-4.633870968,19.45322581,69.65080645,223.3314516,-10.25887097,0.95,45.75645161
105,Just the Way You Are,Bruno Mars,pop,163.8391129,72.77782258,64.20362903,-4.623387097,19.45241935,69.89798387,223.1415323,-10.76653226,0.781451613,45.08790323
106,Baby,Justin Bieber,canadian pop,164.8870968,72.62903226,64.11290323,-4.612903226,19.4516129,70.14516129,222.9516129,-11.27419355,0.612903226,44.41935484
107,Dynamite,Taio Cruz,dance pop,165.9350806,72.48024194,64.02217742,-4.602419355,19.45080645,70.39233871,222.7616935,-11.78185484,0.444354839,43.75080645
108,Secrets,OneRepublic,dance pop,166.9830645,72.33145161,63.93145161,-4.591935484,19.45,70.63951613,222.5717742,-12.28951613,0.275806452,43.08225806
109,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,168.0310484,72.18266129,63.84072581,-4.581451613,19.44919355,70.88669355,222.3818548,-12.79717742,0.107258065,42.41370968
110,Only Girl (In The World),Rihanna,barbadian pop,169.0790323,72.03387097,63.75,-4.570967742,19.4483871,71.13387097,222.1919355,-13.30483871,-0.061290323,41.74516129
111,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,170.1270161,71.88508065,63.65927419,-4.560483871,19.44758065,71.38104839,222.0020161,-13.8125,-0.22983871,41.0766129
112,Marry You,Bruno Mars,pop,171.175,71.73629032,63.56854839,-4.55,19.44677419,71.62822581,221.8120968,-14.32016129,-0.398387097,40.40806452
113,Cooler Than Me - Single Mix,Mike Posner,dance pop,172.2229839,71.5875,63.47782258,-4.539516129,19.44596774,71.87540323,221.6221774,-14.82782258,-0.566935484,39.73951613
114,Telephone,Lady Gaga,dance pop,173.2709677,71.43870968,63.38709677,-4.529032258,19.44516129,72.12258065,221.4322581,-15.33548387,-0.735483871,39.07096774
115,Like A G7,Far East Movement,dance pop,174.3189516,71.28991935,63.29637097,-4.518548387,19.44435484,72.36975806,221.2423387,-15.84314516,-0.904032258,38.40241935
116,OMG (feat. will.i.am),Usher,atl hip hop,175.3669355,71.14112903,63.20564516,-4.508064516,19.44354839,72.61693548,221.0524194,-16.35080645,-1.072580645,37.73387097
117,Eenie Meenie,Sean Kingston,dance pop,176.4149194,70.99233871,63.11491935,-4.497580645,19.44274194,72.8641129,220.8625,-16.85846774,-1.241129032,37.06532258
118,The Time (Dirty Bit),The Black Eyed Peas,dance pop,177.4629032,70.84354839,63.02419355,-4.487096774,19.44193548,73.11129032,220.6725806,-17.36612903,-1.409677419,36.39677419
119,Alejandro,Lady Gaga,dance pop,178.5108871,70.69475806,62.93346774,-4.476612903,19.44112903,73.35846774,220.4826613,-17.87379032,-1.578225806,35.72822581
120,Your Love Is My Drug,Kesha,dance pop,179.558871,70.54596774,62.84274194,-4.466129032,19.44032258,73.60564516,220.2927419,-18.38145161,-1.746774194,35.05967742
121,Meet Me Halfway,The Black Eyed Peas,dance pop,180.6068548,70.39717742,62.75201613,-4.455645161,19.43951613,73.85282258,220.1028226,-18.8891129,-1.915322581,34.39112903
122,Whataya Want from Me,Adam Lambert,australian pop,181.6548387,70.2483871,62.66129032,-4.44516129,19.43870968,74.1,219.9129032,-19.39677419,-2.083870968,33.72258065
123,Take It Off,Kesha,dance pop,182.7028226,70.09959677,62.57056452,-4.434677419,19.43790323,74.34717742,219.7229839,-19.90443548,-2.252419355,33.05403226
124,Misery,Maroon 6,pop,183.7508065,69.95080645,62.47983871,-4.424193548,19.43709677,74.59435484,219.5330645,-20.41209677,-2.420967742,32.38548387
125,All The Right Moves,OneRepublic,dance pop,184.7987903,69.80201613,62.3891129,-4.413709677,19.43629032,74.84153226,219.3431452,-20.91975806,-2.589516129,31.71693548
126,Animal,Neon Trees,indie pop,185.8467742,69.65322581,62.2983871,-4.403225806,19.43548387,75.08870968,219.1532258,-21.42741935,-2.758064516,31.0483871
127,Naturally,Selena Gomez & The Scene,dance pop,186.8947581,69.50443548,62.20766129,-4.392741935,19.43467742,75.3358871,218.9633065,-21.93508065,-2.926612903,30.37983871
128,I Like It,Enrique Iglesias,dance pop,187.9427419,69.35564516,62.11693548,-4.382258065,19.43387097,75.58306452,218.7733871,-22.44274194,-3.09516129,29.71129032
129,Teenage Dream,Katy Perry,dance pop,188.9907258,69.20685484,62.02620968,-4.371774194,19.43306452,75.83024194,218.5834677,-22.95040323,-3.263709677,29.04274194
130,California Gurls,Katy Perry,dance pop,190.0387097,69.05806452,61.93548387,-4.361290323,19.43225806,76.07741935,218.3935484,-23.45806452,-3.432258065,28.37419355
131,4,Britney Spears,dance pop,191.0866935,68.90927419,61.84475806,-4.350806452,19.43145161,76.32459677,218.203629,-23.96572581,-3.600806452,27.70564516
132,"Hey, Soul Sister",Train,neo mellow,192.1346774,68.76048387,61.75403226,-4.340322581,19.43064516,76.57177419,218.0137097,-24.4733871,-3.769354839,27.03709677
133,Love The Way You Lie,Eminem,detroit hip hop,193.1826613,68.61169355,61.66330645,-4.32983871,19.42983871,76.81895161,217.8237903,-24.98104839,-3.937903226,26.36854839
134,TiK ToK,Kesha,dance pop,194.2306452,68.46290323,61.57258065,-4.319354839,19.42903226,77.06612903,217.633871,-25.48870968,-4.106451613,25.7
135,Bad Romance,Lady Gaga,dance pop,195.278629,68.3141129,61.48185484,-4.308870968,19.42822581,77.31330645,217.4439516,-25.99637097,-4.275,25.03145161
136,Just the Way You Are,Bruno Mars,pop,196.3266129,68.16532258,61.39112903,-4.298387097,19.42741935,77.56048387,217.2540323,-26.50403226,-4.443548387,24.36290323
137,Baby,Justin Bieber,canadian pop,197.3745968,68.01653226,61.30040323,-4.287903226,19.4266129,77.80766129,217.0641129,-27.01169355,-4.612096774,23.69435484
138,Dynamite,Taio Cruz,dance pop,198.4225806,67.86774194,61.20967742,-4.277419355,19.42580645,78.05483871,216.8741935,-27.51935484,-4.780645161,23.02580645
139,Secrets,OneRepublic,dance pop,199.4705645,67.71895161,61.11895161,-4.266935484,19.425,78.30201613,216.6842742,-28.02701613,-4.949193548,22.35725806
140,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,200.5185484,67.57016129,61.02822581,-4.256451613,19.42419355,78.54919355,216.4943548,-28.53467742,-5.117741935,21.68870968
141,Only Girl (In The World),Rihanna,barbadian pop,201.5665323,67.42137097,60.9375,-4.245967742,19.4233871,78.79637097,216.3044355,-29.04233871,-5.286290323,21.02016129
142,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,202.6145161,67.27258065,60.84677419,-4.235483871,19.42258065,79.04354839,216.1145161,-29.55,-5.45483871,20.3516129
143,Marry You,Bruno Mars,pop,203.6625,67.12379032,60.75604839,-4.225,19.42177419,79.29072581,215.9245968,-30.05766129,-5.623387097,19.68306452
144,Cooler Than Me - Single Mix,Mike Posner,dance pop,204.7104839,66.975,60.66532258,-4.214516129,19.42096774,79.53790323,215.7346774,-30.56532258,-5.791935484,19.01451613
145,Telephone,Lady Gaga,dance pop,205.7584677,66.82620968,60.57459677,-4.204032258,19.42016129,79.78508065,215.5447581,-31.07298387,-5.960483871,18.34596774
146,Like A G8,Far East Movement,dance pop,206.8064516,66.67741935,60.48387097,-4.193548387,19.41935484,80.03225806,215.3548387,-31.58064516,-6.129032258,17.67741935
147,OMG (feat. will.i.am),Usher,atl hip hop,207.8544355,66.52862903,60.39314516,-4.183064516,19.41854839,80.27943548,215.1649194,-32.08830645,-6.297580645,17.00887097
148,Eenie Meenie,Sean Kingston,dance pop,208.9024194,66.37983871,60.30241935,-4.172580645,19.41774194,80.5266129,214.975,-32.59596774,-6.466129032,16.34032258
149,The Time (Dirty Bit),The Black Eyed Peas,dance pop,209.9504032,66.23104839,60.21169355,-4.162096774,19.41693548,80.77379032,214.7850806,-33.10362903,-6.634677419,15.67177419
150,Alejandro,Lady Gaga,dance pop,210.9983871,66.08225806,60.12096774,-4.151612903,19.41612903,81.02096774,214.5951613,-33.61129032,-6.803225806,15.00322581
151,"Hey, Soul Sister",Train,neo mellow,212.046371,65.93346774,60.03024194,-4.141129032,19.41532258,81.26814516,214.4052419,-34.11895161,-6.971774194,14.33467742
152,Love The Way You Lie,Eminem,detroit hip hop,213.0943548,65.78467742,59.93951613,-4.130645161,19.41451613,81.51532258,214.2153226,-34.6266129,-7.140322581,13.66612903
153,TiK ToK,Kesha,dance pop,214.1423387,65.6358871,59.84879032,-4.12016129,19.41370968,81.7625,214.0254032,-35.13427419,-7.308870968,12.99758065
154,Bad Romance,Lady Gaga,dance pop,215.1903226,65.48709677,59.75806452,-4.109677419,19.41290323,82.00967742,213.8354839,-35.64193548,-7.477419355,12.32903226
155,Just the Way You Are,Bruno Mars,pop,216.2383065,65.33830645,59.66733871,-4.099193548,19.41209677,82.25685484,213.6455645,-36.14959677,-7.645967742,11.66048387
156,Baby,Justin Bieber,canadian pop,217.2862903,65.18951613,59.5766129,-4.088709677,19.41129032,82.50403226,213.4556452,-36.65725806,-7.814516129,10.99193548
157,Dynamite,Taio Cruz,dance pop,218.3342742,65.04072581,59.4858871,-4.078225806,19.41048387,82.75120968,213.2657258,-37.16491935,-7.983064516,10.3233871
158,Secrets,OneRepublic,dance pop,219.3822581,64.89193548,59.39516129,-4.067741935,19.40967742,82.9983871,213.0758065,-37.67258065,-8.151612903,9.65483871
159,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,220.4302419,64.74314516,59.30443548,-4.057258065,19.40887097,83.24556452,212.8858871,-38.18024194,-8.32016129,8.986290323
160,Only Girl (In The World),Rihanna,barbadian pop,221.4782258,64.59435484,59.21370968,-4.046774194,19.40806452,83.49274194,212.6959677,-38.68790323,-8.488709677,8.317741935
161,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,222.5262097,64.44556452,59.12298387,-4.036290323,19.40725806,83.73991935,212.5060484,-39.19556452,-8.657258065,7.649193548
162,Marry You,Bruno Mars,pop,223.5741935,64.29677419,59.03225806,-4.025806452,19.40645161,83.98709677,212.316129,-39.70322581,-8.825806452,6.980645161
163,Cooler Than Me - Single Mix,Mike Posner,dance pop,224.6221774,64.14798387,58.94153226,-4.015322581,19.40564516,84.23427419,212.1262097,-40.2108871,-8.994354839,6.312096774
164,Telephone,Lady Gaga,dance pop,225.6701613,63.99919355,58.85080645,-4.00483871,19.40483871,84.48145161,211.9362903,-40.71854839,-9.162903226,5.643548387
165,Like A G8,Far East Movement,dance pop,226.7181452,63.85040323,58.76008065,-3.994354839,19.40403226,84.72862903,211.746371,-41.22620968,-9.331451613,4.975
166,OMG (feat. will.i.am),Usher,atl hip hop,227.766129,63.7016129,58.66935484,-3.983870968,19.40322581,84.97580645,211.5564516,-41.73387097,-9.5,4.306451613
167,Eenie Meenie,Sean Kingston,dance pop,228.8141129,63.55282258,58.57862903,-3.973387097,19.40241935,85.22298387,211.3665323,-42.24153226,-9.668548387,3.637903226
168,The Time (Dirty Bit),The Black Eyed Peas,dance pop,229.8620968,63.40403226,58.48790323,-3.962903226,19.4016129,85.47016129,211.1766129,-42.74919355,-9.837096774,2.969354839
169,Alejandro,Lady Gaga,dance pop,230.9100806,63.25524194,58.39717742,-3.952419355,19.40080645,85.71733871,210.9866935,-43.25685484,-10.00564516,2.300806452
170,Your Love Is My Drug,Kesha,dance pop,231.9580645,63.10645161,58.30645161,-3.941935484,19.4,85.96451613,210.7967742,-43.76451613,-10.17419355,1.632258065
171,Meet Me Halfway,The Black Eyed Peas,dance pop,233.0060484,62.95766129,58.21572581,-3.931451613,19.39919355,86.21169355,210.6068548,-44.27217742,-10.34274194,0.963709677
172,Whataya Want from Me,Adam Lambert,australian pop,234.0540323,62.80887097,58.125,-3.920967742,19.3983871,86.45887097,210.4169355,-44.77983871,-10.51129032,0.29516129
173,Take It Off,Kesha,dance pop,235.1020161,62.66008065,58.03427419,-3.910483871,19.39758065,86.70604839,210.2270161,-45.2875,-10.67983871,-0.373387097
174,Misery,Maroon 7,pop,236.15,62.51129032,57.94354839,-3.9,19.39677419,86.95322581,210.0370968,-45.79516129,-10.8483871,-1.041935484
175,All The Right Moves,OneRepublic,dance pop,237.1979839,62.3625,57.85282258,-3.889516129,19.39596774,87.20040323,209.8471774,-46.30282258,-11.01693548,-1.710483871
176,Animal,Neon Trees,indie pop,238.2459677,62.21370968,57.76209677,-3.879032258,19.39516129,87.44758065,209.6572581,-46.81048387,-11.18548387,-2.379032258
177,Naturally,Selena Gomez & The Scene,dance pop,239.2939516,62.06491935,57.67137097,-3.868548387,19.39435484,87.69475806,209.4673387,-47.31814516,-11.35403226,-3.047580645
178,I Like It,Enrique Iglesias,dance pop,240.3419355,61.91612903,57.58064516,-3.858064516,19.39354839,87.94193548,209.2774194,-47.82580645,-11.52258065,-3.716129032
179,Teenage Dream,Katy Perry,dance pop,241.3899194,61.76733871,57.48991935,-3.847580645,19.39274194,88.1891129,209.0875,-48.33346774,-11.69112903,-4.384677419
180,California Gurls,Katy Perry,dance pop,242.4379032,61.61854839,57.39919355,-3.837096774,19.39193548,88.43629032,208.8975806,-48.84112903,-11.85967742,-5.053225806
181,5,Britney Spears,dance pop,243.4858871,61.46975806,57.30846774,-3.826612903,19.39112903,88.68346774,208.7076613,-49.34879032,-12.02822581,-5.721774194
182,"Hey, Soul Sister",Train,neo mellow,244.533871,61.32096774,57.21774194,-3.816129032,19.39032258,88.93064516,208.5177419,-49.85645161,-12.19677419,-6.390322581
183,Love The Way You Lie,Eminem,detroit hip hop,245.5818548,61.17217742,57.12701613,-3.805645161,19.38951613,89.17782258,208.3278226,-50.3641129,-12.36532258,-7.058870968
184,TiK ToK,Kesha,dance pop,246.6298387,61.0233871,57.03629032,-3.79516129,19.38870968,89.425,208.1379032,-50.87177419,-12.53387097,-7.727419355
185,Bad Romance,Lady Gaga,dance pop,247.6778226,60.87459677,56.94556452,-3.784677419,19.38790323,89.67217742,207.9479839,-51.37943548,-12.70241935,-8.395967742
186,Just the Way You Are,Bruno Mars,pop,248.7258065,60.72580645,56.85483871,-3.774193548,19.38709677,89.91935484,207.7580645,-51.88709677,-12.87096774,-9.064516129
187,Baby,Justin Bieber,canadian pop,249.7737903,60.57701613,56.7641129,-3.763709677,19.38629032,90.16653226,207.5681452,-52.39475806,-13.03951613,-9.733064516
188,Dynamite,Taio Cruz,dance pop,250.8217742,60.42822581,56.6733871,-3.753225806,19.38548387,90.41370968,207.3782258,-52.90241935,-13.20806452,-10.4016129
189,Secrets,OneRepublic,dance pop,251.8697581,60.27943548,56.58266129,-3.742741935,19.38467742,90.6608871,207.1883065,-53.41008065,-13.3766129,-11.07016129
190,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,252.9177419,60.13064516,56.49193548,-3.732258065,19.38387097,90.90806452,206.9983871,-53.91774194,-13.54516129,-11.73870968
191,Only Girl (In The World),Rihanna,barbadian pop,253.9657258,59.98185484,56.40120968,-3.721774194,19.38306452,91.15524194,206.8084677,-54.42540323,-13.71370968,-12.40725806
192,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,255.0137097,59.83306452,56.31048387,-3.711290323,19.38225806,91.40241935,206.6185484,-54.93306452,-13.88225806,-13.07580645
193,Marry You,Bruno Mars,pop,256.0616935,59.68427419,56.21975806,-3.700806452,19.38145161,91.64959677,206.428629,-55.44072581,-14.05080645,-13.74435484
194,Cooler Than Me - Single Mix,Mike Posner,dance pop,257.1096774,59.53548387,56.12903226,-3.690322581,19.38064516,91.89677419,206.2387097,-55.9483871,-14.21935484,-14.41290323
195,Telephone,Lady Gaga,dance pop,258.1576613,59.38669355,56.03830645,-3.67983871,19.37983871,92.14395161,206.0487903,-56.45604839,-14.38790323,-15.08145161
196,Like A G9,Far East Movement,dance pop,259.2056452,59.23790323,55.94758065,-3.669354839,19.37903226,92.39112903,205.858871,-56.96370968,-14.55645161,-15.75
197,OMG (feat. will.i.am),Usher,atl hip hop,260.253629,59.0891129,55.85685484,-3.658870968,19.37822581,92.63830645,205.6689516,-57.47137097,-14.725,-16.41854839
198,Eenie Meenie,Sean Kingston,dance pop,261.3016129,58.94032258,55.76612903,-3.648387097,19.37741935,92.88548387,205.4790323,-57.97903226,-14.89354839,-17.08709677
199,The Time (Dirty Bit),The Black Eyed Peas,dance pop,262.3495968,58.79153226,55.67540323,-3.637903226,19.3766129,93.13266129,205.2891129,-58.48669355,-15.06209677,-17.75564516
200,Alejandro,Lady Gaga,dance pop,263.3975806,58.64274194,55.58467742,-3.627419355,19.37580645,93.37983871,205.0991935,-58.99435484,-15.23064516,-18.42419355
